game,sea_year,date,opponent,nd_rank,opp_rank,head_coach,result,nd_score,opp_score,month,day,year,site,opp_w,opp_l,opp_t,div-1A
3,1899,10/4/1899,Chicago,,,James McWeeney,L,6,23,10,4,1899,Away,8,0,2,1
5,1899,10/18/1899,Michigan,,,James McWeeney,L,0,12,10,18,1899,Away,8,2,0,1
9,1899,11/18/1899,Purdue,,,James McWeeney,T,10,10,11,18,1899,Away,4,4,1,1
15,1900,10/25/1900,Indiana,,,Patrick O' Dea,L,0,6,10,25,1900,Away,4,2,2,1
17,1900,11/10/1900,Wisconsin,,,Patrick O' Dea,L,0,54,11,10,1900,Away,8,1,0,1
18,1900,11/17/1900,Michigan,,,Patrick O' Dea,L,0,7,11,17,1900,Away,8,2,1,1
22,1901,10/5/1901,Ohio Medical,,,Patrick O' Dea,W,6,0,10,5,1901,Away,1,9,0,0
23,1901,10/12/1901,Northwestern,,,Patrick O' Dea,L,0,2,10,12,1901,Away,8,2,1,1
25,1901,10/26/1901,Beloit,,,Patrick O' Dea,W,5,0,10,26,1901,Away,5,3,3,1
34,1902,10/25/1902,Indiana,,,James Faragher,W,11,5,10,25,1902,Away,3,5,1,1
35,1902,11/1/1902,Ohio Medical,,,James Faragher,W,6,5,11,1,1902,Away,1,9,0,0
39,1902,11/27/1902,Purdue,,,James Faragher,T,6,6,11,27,1902,Away,7,2,1,1
43,1904,10/22/1904,Ohio Medical,,,Louis Salmon,W,17,5,10,22,1904,Away,1,9,0,0
45,1904,11/5/1904,Kansas,,,Louis Salmon,L,5,24,11,5,1904,Away,8,1,1,1
47,1904,11/24/1904,Purdue,,,Louis Salmon,L,0,36,11,24,1904,Away,9,3,0,1
54,1905,11/11/1905,Indiana,,,Henry McGlew,L,5,22,11,11,1905,Away,8,1,1,1
56,1905,11/24/1905,Purdue,,,Henry McGlew,L,0,32,11,24,1905,Away,6,1,1,1
60,1913,11/1/1913,Army,,,Jesse Harper,W,35,13,11,1,1913,Away,8,1,0,1
61,1913,11/7/1913,Penn State,,,Jesse Harper,W,14,7,11,7,1913,Away,2,6,0,1
62,1913,11/22/1913,Christian Brothers,,,Jesse Harper,W,20,7,11,22,1913,Away,1,9,0,0
63,1913,11/27/1913,Texas,,,Jesse Harper,W,30,7,11,27,1913,Away,7,1,0,1
66,1914,10/17/1914,Yale,,,Jesse Harper,L,0,28,10,17,1914,Away,7,2,0,1
69,1914,11/7/1914,Army,,,Jesse Harper,L,7,20,11,7,1914,Away,9,0,0,1
71,1914,11/26/1914,Syracuse,,,Jesse Harper,W,20,0,11,26,1914,Away,5,3,2,1
74,1915,10/23/1915,Nebraska,,,Jesse Harper,L,19,20,10,23,1915,Away,8,0,0,1
76,1915,11/6/1915,Army,,,Jesse Harper,W,7,0,11,6,1915,Away,5,3,1,1
77,1915,11/13/1915,Creighton,,,Jesse Harper,W,41,0,11,13,1915,Away,1,9,0,0
78,1915,11/25/1915,Texas,,,Jesse Harper,W,36,7,11,25,1915,Away,6,3,0,1
79,1915,11/27/1915,Rice,,,Jesse Harper,W,55,2,11,27,1915,Away,5,3,0,1
81,1916,10/7/1916,Western Reserve,,,Jesse Harper,W,48,0,10,7,1916,Away,1,9,0,0
84,1916,11/4/1916,Army,,,Jesse Harper,L,10,30,11,4,1916,Away,9,0,0,1
86,1916,11/18/1916,Michigan State,,,Jesse Harper,W,14,0,11,18,1916,Away,1,9,0,0
88,1916,11/30/1916,Nebraska,,,Jesse Harper,W,20,0,11,30,1916,Away,6,2,0,1
90,1917,10/13/1917,Wisconsin,,,Jesse Harper,T,0,0,10,13,1917,Away,4,2,1,1
91,1917,10/20/1917,Nebraska,,,Jesse Harper,L,0,7,10,20,1917,Away,5,2,0,1
93,1917,11/3/1917,Army,,,Jesse Harper,W,7,2,11,3,1917,Away,7,1,0,1
94,1917,11/10/1917,Morningside,,,Jesse Harper,W,13,0,11,10,1917,Away,1,9,0,0
96,1917,11/24/1917,Washington & Jefferson,,,Jesse Harper,W,3,0,11,24,1917,Away,7,3,0,1
97,1918,9/28/1918,Case,,,Knute Rockne,W,26,6,9,28,1918,Away,1,9,0,0
98,1918,11/2/1918,Wabash,,,Knute Rockne,W,67,7,11,2,1918,Away,1,9,0,0
100,1918,11/16/1918,Michigan State,,,Knute Rockne,L,7,13,11,16,1918,Away,4,3,0,1
101,1918,11/23/1918,Purdue,,,Knute Rockne,W,26,6,11,23,1918,Away,3,3,0,1
102,1918,11/28/1918,Nebraska,,,Knute Rockne,T,0,0,11,28,1918,Away,2,3,1,1
105,1919,10/18/1919,Nebraska,,,Knute Rockne,W,14,9,10,18,1919,Away,3,3,2,1
108,1919,11/8/1919,Army,,,Knute Rockne,W,12,9,11,8,1919,Away,6,3,0,1
110,1919,11/22/1919,Purdue,,,Knute Rockne,W,33,13,11,22,1919,Away,2,4,1,1
111,1919,11/27/1919,Morningside,,,Knute Rockne,W,14,6,11,27,1919,Away,1,9,0,0
114,1920,10/16/1920,Nebraska,,,Knute Rockne,W,16,7,10,16,1920,Away,5,3,1,1
116,1920,10/30/1920,Army,,,Knute Rockne,W,27,17,10,30,1920,Away,1,9,0,0
119,1920,11/20/1920,Northwestern,,,Knute Rockne,W,33,7,11,20,1920,Away,3,4,0,1
120,1920,11/25/1920,Michigan State,,,Knute Rockne,W,25,0,11,25,1920,Away,1,9,0,0
123,1921,10/8/1921,Iowa,,,Knute Rockne,L,7,10,10,8,1921,Away,7,0,0,1
124,1921,10/15/1921,Purdue,,,Knute Rockne,W,33,0,10,15,1921,Away,1,6,0,1
127,1921,11/5/1921,Army,,,Knute Rockne,W,28,0,11,5,1921,Away,1,9,0,0
130,1921,11/19/1921,Marquette,,,Knute Rockne,W,21,7,11,19,1921,Away,1,9,0,0
134,1922,10/14/1922,Purdue,,,Knute Rockne,W,20,0,10,14,1922,Away,1,5,1,1
136,1922,10/28/1922,Georgia Tech,,,Knute Rockne,W,13,3,10,28,1922,Away,7,2,0,1
138,1922,11/11/1922,Army,,,Knute Rockne,T,0,0,11,11,1922,Away,8,0,2,1
